date,district,commodity,level,price_rp_kg,price_mean,price_std,obs_count,rolling_med,rolling_std,z_score,spike,supply_ndvi_anomaly,supply_evi_anomaly,supply_ndvi,local_ndvi_anomaly,local_evi_anomaly,local_ndvi,rainfall_mm,min_distance_km,min_travel_hrs,supply_ndvi_lag1,local_ndvi_lag1,rain_lag1,supply_ndvi_lag2,local_ndvi_lag2,rain_lag2,supply_ndvi_lag3,local_ndvi_lag3,rain_lag3,supply_ndvi_lag4,local_ndvi_lag4,rain_lag4,rain_4wk_sum,supply_ndvi_4wk_trend,month,is_wet_season,flood_risk,flood_risk_lag1,stress_x_distance,price_lag1,price_pct_change
2023-09-04,Sumatera Selatan,Cabai Merah Besar + Keriting,1,47200.0,46930.0,2096.6043975914963,5,44162.5,3613.724767664048,0.8405454746249184,0,-0.014921269953546899,0.03023386580295223,0.7740748990221353,-0.016303513395113108,0.018612322888219183,0.7477423698787228,1.6386654651546952,150.0,4.0,0.00875733583026769,-0.0024006728812394564,13.432411580700045,0.00875733583026769,-0.0024006728812394564,2.4829503016433527,0.00875733583026769,-0.0024006728812394564,26.431175539132152,0.01909933443068384,0.00418077701742745,9.183267866457594,43.98520288663025,-0.007103581735144375,9,0,0,0.0,1.3136003745401534,50100.0,-0.05788423153692615
2023-09-11,Sumatera Selatan,Cabai Merah Besar + Keriting,1,44200.0,44150.0,873.2124598286493,5,44150.0,3614.949120369075,0.0138314533165255,0,-0.014921269953546899,0.03023386580295223,0.7740748990221353,-0.016303513395113108,0.018612322888219183,0.7477423698787228,11.12030338907945,150.0,4.0,-0.014921269953546899,-0.016303513395113108,1.6386654651546952,0.00875733583026769,-0.0024006728812394564,13.432411580700045,0.00875733583026769,-0.0024006728812394564,2.4829503016433527,0.00875733583026769,-0.0024006728812394564,26.431175539132152,28.67433073657754,-0.009471442313525836,9,0,0,0.0,1.3136003745401534,47200.0,-0.0635593220338983
2023-09-18,Sumatera Selatan,Cabai Merah Besar + Keriting,1,43100.0,43560.0,1203.8479970494616,5,44150.0,3476.085390616455,-0.3020639259422195,0,-0.02779216244048958,-0.04079382321694401,0.7492892545308398,-0.027831558138886266,-0.022607047496387173,0.728547535957235,0.8644558767982854,150.0,4.0,-0.014921269953546899,-0.016303513395113108,11.12030338907945,-0.014921269953546899,-0.016303513395113108,1.6386654651546952,0.00875733583026769,-0.0024006728812394564,13.432411580700045,0.00875733583026769,-0.0024006728812394564,2.4829503016433527,27.055836311732474,-0.010964849481227182,9,0,0,0.0,-2.2381904930320347,44200.0,-0.024886877828054297
2023-09-25,Sumatera Selatan,Cabai Merah Besar + Keriting,1,47525.0,47362.5,1240.5475941427378,4,45700.0,3116.17145766587,0.5856545523226742,0,-0.02779216244048958,-0.04079382321694401,0.7492892545308398,-0.027831558138886266,-0.022607047496387173,0.728547535957235,0.26355262406452434,150.0,4.0,-0.02779216244048958,-0.027831558138886266,0.8644558767982854,-0.014921269953546899,-0.016303513395113108,11.12030338907945,-0.014921269953546899,-0.016303513395113108,1.6386654651546952,0.00875733583026769,-0.0024006728812394564,13.432411580700045,13.886977355096954,-0.005148356994777072,9,0,0,0.0,-2.2381904930320347,43100.0,0.10266821345707657
2023-10-02,Sumatera Selatan,Cabai Merah Besar + Keriting,1,47450.0,47400.0,1081.0874155219824,5,47325.0,2883.7115685717067,0.0433469149142097,0,-0.05098358774913638,-0.027738077060177557,0.721300443362174,-0.05678085558540086,-0.04004989301241097,0.7028367949605637,6.78930688607482,150.0,4.0,-0.02779216244048958,-0.027831558138886266,0.26355262406452434,-0.02779216244048958,-0.027831558138886266,0.8644558767982854,-0.014921269953546899,-0.016303513395113108,11.12030338907945,-0.014921269953546899,-0.016303513395113108,1.6386654651546952,19.037618776017077,-0.010818695338676845,10,0,0,0.0,-4.168824366073437,47525.0,-0.0015781167806417674
2023-10-09,Sumatera Selatan,Cabai Merah Besar + Keriting,1,45950.0,46000.0,325.96012026013244,5,47325.0,2700.3120686056177,-0.5092004053850042,0,-0.05098358774913638,-0.027738077060177557,0.721300443362174,-0.05678085558540086,-0.04004989301241097,0.7028367949605637,32.015333627362374,150.0,4.0,-0.05098358774913638,-0.05678085558540086,6.78930688607482,-0.02779216244048958,-0.027831558138886266,0.26355262406452434,-0.02779216244048958,-0.027831558138886266,0.8644558767982854,-0.014921269953546899,-0.016303513395113108,11.12030338907945,39.9326490143,-0.009276570123458722,10,0,0,0.0,-4.168824366073437,47450.0,-0.03161222339304531
2023-10-16,Sumatera Selatan,Cabai Merah Besar + Keriting,1,45100.0,46840.0,3564.8281866031075,5,46575.0,2212.9262099569187,-0.6665382665555375,0,-0.02118486692852426,-0.07838287764969121,0.7436341847278165,-0.03716705870544356,-0.07476312146349048,0.7244440942027134,22.261808006666847,150.0,4.0,-0.05098358774913638,-0.05678085558540086,32.015333627362374,-0.05098358774913638,-0.05678085558540086,6.78930688607482,-0.02779216244048958,-0.027831558138886266,0.26355262406452434,-0.02779216244048958,-0.027831558138886266,0.8644558767982854,61.33000114416856,0.0019821886535895897,10,0,0,0.0,-7.6475381623704575,45950.0,-0.018498367791077257
2023-10-23,Sumatera Selatan,Cabai Merah Besar + Keriting,1,56450.0,58430.0,6262.647203858764,5,46575.0,4096.414754304759,2.410644573922295,1,-0.02118486692852426,-0.07838287764969121,0.7436341847278165,-0.03716705870544356,-0.07476312146349048,0.7244440942027134,32.58230366570023,150.0,4.0,-0.02118486692852426,-0.03716705870544356,22.261808006666847,-0.05098358774913638,-0.05678085558540086,32.015333627362374,-0.05098358774913638,-0.05678085558540086,6.78930688607482,-0.02779216244048958,-0.027831558138886266,0.26355262406452434,93.64875218580427,0.011919488328244847,10,0,0,0.0,-7.6475381623704575,45100.0,0.2516629711751663
2023-10-30,Sumatera Selatan,Cabai Merah Besar + Keriting,1,62850.0,63690.0,4298.749818261119,5,46700.0,6909.794258617878,2.3372620653440963,1,-0.02118486692852426,-0.07838287764969121,0.7436341847278165,-0.03716705870544356,-0.07476312146349048,0.7244440942027134,33.26013127073763,150.0,4.0,-0.02118486692852426,-0.03716705870544356,32.58230366570023,-0.02118486692852426,-0.03716705870544356,22.261808006666847,-0.05098358774913638,-0.05678085558540086,32.015333627362374,-0.05098358774913638,-0.05678085558540086,6.78930688607482,120.11957657046709,0.008939616246183637,10,0,0,0.0,-3.177730039278639,56450.0,0.1133746678476528
2023-11-06,Sumatera Selatan,Cabai Merah Besar + Keriting,1,73000.0,73250.0,3270.703288285259,5,47487.5,10549.18275016736,2.4184337881145583,1,-0.0264560966034033,-0.05224442209430421,0.7480928453664317,-0.023516346432652345,-0.0636613949299737,0.7340666814440865,65.32509675146521,150.0,4.0,-0.02118486692852426,-0.03716705870544356,33.26013127073763,-0.02118486692852426,-0.03716705870544356,32.58230366570023,-0.02118486692852426,-0.03716705870544356,22.261808006666847,-0.05098358774913638,-0.05678085558540086,32.015333627362374,153.42933969456993,-0.0015813689024637106,11,1,0,0.0,-3.177730039278639,62850.0,0.1614956245027844
